token,surprisal
ental,14.66606330871582
 health,2.2685470581054688
 services,4.8600945472717285
",",3.357731819152832
 is,10.463895797729492
 a,3.4577362537384033
 loose,14.660904884338379
 network,6.082759380340576
 of,0.25051793456077576
 services,5.8933539390563965
 ranging,7.894485950469971
 from,0.04898170009255409
 highly,13.09701919555664
 structured,6.095369815826416
 in,9.170878410339355
patient,1.3556188344955444
 psychiatric,5.124711990356445
 units,5.127275466918945
 to,0.8050485849380493
 informal,7.852482795715332
 support,6.73682165145874
 groups,1.93026864528656
",",2.9422473907470703
 where,4.844323635101318
 psychiatric,7.779890537261963
 social,10.525898933410645
 workers,0.1966099590063095
 indul,20.447511672973633
ges,6.1858954429626465
 in,0.7758702039718628
 the,5.488051414489746
 diverse,13.806635856628418
 approaches,9.408164978027344
 in,7.121736526489258
 multiple,12.268142700195312
 settings,2.961559295654297
 along,11.98923110961914
 with,0.5452684760093689
 other,5.142834663391113
 parap,12.473898887634277
ro,1.1214210987091064
f,0.011064083315432072
essional,0.527242124080658
 workers,6.6583638191223145
.,0.8824265003204346
