token,surprisal
cling,13.405281066894531
 is,3.8068952560424805
 also,6.272269248962402
 used,7.792469024658203
 for,2.9366374015808105
 rehabilitation,9.718818664550781
 after,6.621974945068359
 hip,10.038972854614258
 surgery,1.3617995977401733
 to,6.395216464996338
 manage,8.544367790222168
 soft,11.545899391174316
-,7.0701141357421875
t,0.19446836411952972
issue,0.005732289981096983
 healing,10.22442626953125
",",2.984647274017334
 control,11.40735912322998
 swelling,6.636122703552246
 and,1.4179025888442993
 pain,5.97418737411499
",",1.5782496929168701
 and,1.2625813484191895
 allow,7.555545806884766
 a,6.0204758644104
 larger,8.126641273498535
 range,3.299839496612549
 of,0.016567695885896683
 motion,2.6506574153900146
 to,4.272645950317383
 the,5.125701904296875
 nearby,15.867947578430176
 muscles,2.5556392669677734
 earlier,16.24187469482422
 during,7.267655849456787
 recovery,2.436037063598633
.,0.3846815228462219
